[2104, 15717]
[2144, 15733]
[3112, 15755]
[2044, 15764]
[3708, 15778]
[988, 15802]
[2840, 15827]
[2320, 15855]
[340, 15882]
[3112, 15898]
[4196, 15917]
[2420, 15939]
[3212, 15964]
[2304, 15979]
[468, 15993]
[7020, 15994]
[10148, 16012]
[4332, 16028]
[1132, 16040]
[1132, 16065]
[6552, 16080]
[1896, 16109]
[2248, 16114]
[4224, 16125]
[3848, 16146]
[820, 16168]
[2296, 16170]
[6772, 16184]
[1112, 16204]
[1076, 16222]
[412, 16229]
[432, 16249]
[1324, 16255]
[2356, 16279]
[7604, 16305]
[928, 16313]
[172, 16327]
[3444, 16328]
[6812, 16353]
[2204, 16365]
[1204, 16370]
[15612, 16371]
[20608, 16376]
[9964, 16405]
[8860, 16409]
[4192, 16426]
[1984, 16451]
[6124, 16470]
[5748, 16489]
[4844, 16490]
[4960, 16505]
[940, 16535]
[2644, 16551]
[684, 16572]
[3964, 16591]
[8692, 16599]
[2796, 16623]
[3588, 16651]
[44, 16675]
[204, 16697]
[1492, 16718]
[1816, 16747]
[784, 16751]
[0, 16754]
[1320, 16773]
[5196, 16801]
[2172, 16822]
[2524, 16830]
[2748, 16850]
[4656, 16858]
[4032, 16884]
[4380, 16890]
[4940, 16899]
[492, 16923]
[872, 16928]
[5008, 16954]
[4856, 16966]
[172, 16971]
[24, 16988]
[708, 16995]
[772, 17007]
[7944, 17031]
[5368, 17042]
[140, 17043]
[428, 17065]
[1824, 17092]
[2384, 17117]
[364, 17139]
[2396, 17141]
[3620, 17146]
[8876, 17155]
[1256, 17183]
[1644, 17185]
[4160, 17215]
[700, 17218]
[2412, 17235]
[2636, 17248]
[1140, 17267]
[220, 17275]
[3052, 17286]
[5220, 17307]
[4396, 17324]
[1832, 17328]
[356, 17347]
[1808, 17349]
[1292, 17378]
[3640, 17402]
[3312, 17421]
[1972, 17429]
[1556, 17434]
[756, 17453]
[340, 17476]
[3448, 17502]
[2292, 17510]
[60, 17520]
[1520, 17525]
[2156, 17533]
[84, 17557]
[2220, 17558]
[2612, 17564]
[4704, 17583]
[1604, 17598]
[700, 17602]
[608, 17624]
[412, 17638]
[292, 17641]
[3660, 17659]
[5288, 17675]
[5852, 17696]
[1232, 17711]
[700, 17720]
[1152, 17744]
[948, 17752]
[1152, 17764]
[8532, 17787]
[6332, 17806]
[7852, 17836]
[756, 17843]
[164, 17866]
[3228, 17867]
[3640, 17871]
[6300, 17889]
[3404, 17917]
[4164, 17920]
[8512, 17949]
[4148, 17958]
[156, 17971]
[1284, 17981]
[2856, 18010]
[556, 18016]
[3404, 18020]
[4164, 18023]
[9344, 18029]
[10284, 18048]
[9760, 18061]
[9516, 18066]
[6380, 18072]
[956, 18076]
[2832, 18085]
[6520, 18104]
[2460, 18127]
[5020, 18153]
[1100, 18172]
[756, 18187]
[1936, 18205]
[828, 18224]
[1076, 18250]
[552, 18265]
[484, 18276]
[1400, 18279]
[1844, 18294]
[2332, 18303]
[5888, 18320]
[3476, 18342]
[892, 18363]
[3680, 18391]
[3292, 18395]
[2332, 18401]
[1132, 18421]
[1652, 18441]
[300, 18459]
[4980, 18460]
[5920, 18479]
[1152, 18506]
[6604, 18528]
[5220, 18541]
[4476, 18554]
[2092, 18560]
[1248, 18571]
[888, 18574]
[2400, 18586]
[3512, 18614]
[1976, 18637]
[696, 18649]
[764, 18660]
[1108, 18684]
[892, 18692]
[3920, 18719]
[1396, 18732]
[15024, 18744]
[9572, 18767]
[1152, 18775]
[1408, 18797]
[184, 18808]
